"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contributors","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection","Other version(s)","IIIF Manifest URL","delivery","image count","Viscodex"
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 48","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","9 ff.","68.3 g","codex","119 x 178 x 18.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 48","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 50","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","22 ff.","91.2 g","codex","198 x 154 x 20.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 50","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 51","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","8 ff.","21.6 g","codex","197 x 151 x 20.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 51","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 52","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","11 ff.","73.8 g","codex","272 x 195 x 11.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 52","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 53","","","","ark:/21198/z1bk2gmg","","Work","Synaxarion dedicated at Mount Sinai. First and Fourteenth of September","Synaxarion","","","n.d.","","","","","","","","","","","","8 ff.","53.2 g","codex","272 x 186 x 10.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 53","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 55","Lives of the Saints","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","8 ff.","32.7 g","codex","169 x 129 x 12.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 55","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 62","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","8 ff.","38.8 g","codex","150 x 134 x 15.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 62","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 63","","","","ark:/21198/z1bk2gmg","","Work","","Lectionary","","","n.d.","","","","","","","","","","","","10 ff.","33.9 g","codex","205 x 139 x 19.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 63","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 64","","","","ark:/21198/z1bk2gmg","","Work","","Lectionary","","","n.d.","","","","","","","","","","","","4 ff.","25.6 g","codex","207 x 157 x 9.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 64","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 65","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","2 ff.","11.9 g","codex","229 x 162 x 4.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 65","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 67","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","4 ff.","35.1 g","codex","266 x 184 x 13.0 mm","Parchment","","","","","","","","","","","text","","ara|~|syc","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 67","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 68","","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","","","","","","","","2 ff.","11.3 g","codex","209 x 129 x 9.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 68","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Arabic NF M 70","","","","ark:/21198/z1bk2gmg","","Work","","","","972/980","10th c. CE","","","","","","","","","","","","2 ff.","8.4 g","codex","216 x 170 x 3.0 mm","Parchment","","","","","","","","","","","text","","ara","","","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic NF M 70","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 36","Questions et réponses, de Saint Basile","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","Basil's Asceticon","","","","Philothée","","","5 ff.","41.9 g","codex","243 x 201 x 12.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 36","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 44","Lives of the Saints","","","ark:/21198/z1bk2gmg","","Work","","","","","n.d.","","","","","Translation of Eulogios, patriarch of Alexandria ","","","","Philothée","","","2 ff.","25.2 g","codex","276 x 212 x 10.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 44","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 45","Homélies, instructions","","","ark:/21198/z1bk2gmg","","Work","","","","901/1000","10th c. CE","","","","","Sahdona's Book of Perfection , manuscript copied by Anba Sargis in Edessa , completed 16 March 837","","","","Philothée","","","17 ff.","210.5 g","codex","301 x 224 x 35.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","Square Estrangelo, circa 10th century","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 45","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 46","Cinquante sentences (partie de Centuries), suivies d'Instructions des saints pères aux moines","","","ark:/21198/z1bk2gmg","","Work","","","","701/800","8th c. CE","","","","","","","","","Philothée","","","20 ff.","85.1 g","codex","177 x 113 x 33.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","Very fine Estrangelo script","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 46","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 47","","","","ark:/21198/z1bk2gmg","","Work","Rituel du baptême, de Jacques, évêque de Batnan de Saroug","Liturgy of Saint John Chrysostom","","501/600","6th c. CE","","","","","","","","","Philothée","","","9 ff.","51.3 g","codex","193 x 130 x 20.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","Beautiful, regular Estrangelo, circa 6th century","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 47","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 48","","","","ark:/21198/z1bk2gmg","","Work","","Psalter","","","n.d.","","","","","","","","","Philothée","","","19 ff.","67.2 g","codex","179 x 120 x 35.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Serto","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 48","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 50","Prayer book","","","ark:/21198/z1bk2gmg","","Work","","Sticherarion","","","n.d.","","","","","","","","","Philothée","","","11 ff.","50.4 g","codex","214 x 164 x 16.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 50","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 51","","","","ark:/21198/z1bk2gmg","","Work","Book of Job, 569 A.D., text of the Peshitta","Bible. Job","","501/600","6th c. CE","","","","","","","","","Philothée","","","10 ff.","70.8 g","codex","224 x 148 x 18.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","Estrangelo script, 6th century","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 51","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 53","Hippolyte, Works","","","ark:/21198/z1bk2gmg","","Work","","","","401/500","5th c. CE","","","","","","","","","Philothée","","","10 ff.","82.4 g","codex","257 x 181 x 17.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","Estrangela","Regular Estrangelo","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 53","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 57","Martyrology, circa 10th century","","","ark:/21198/z1bk2gmg","","Work","","","","901/1000","10th c. CE","","","","","","","","","Philothée","","","31 ff.","153.9 g","codex","204 x 131 x 29.0 mm","Parchment","","","","","","","","","","","text","","syc","","Syriac","","Very faded script","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 57","","","","delivery 8.2","",""
"","","Sinai, St. Catherine’s Monastery, Syriac NF M 58","Sayings of the Fathers","","","ark:/21198/z1bk2gmg","","Work","","","","701/900","8th c. CE","","","","","","","","","Philothée","","","8 ff.","35.8 g","codex","205 x 166 x 12.0 mm","Parchment","","","","","","","","","","","text","","cpa","","Syriac","Melkite","Melkite Aramaic","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Syriac NF M 58","","","","delivery 8.2","",""
