File Name,Item Sequence,Visibility,Title,Thumbnail URL,viewingHint,Parent ARK,Item ARK,Object Type,AltTitle.other,AltTitle.uniform,Place of origin,Date.normalized,Date binding,Date.creation,Scribe,Author,Translator,Contents note,Colophon,Incipit,Explicit,References,Provenance,General note,Format.extent,Form,Format.dimensions,Support,Foliation,Page layout,Writing and hands,Illustrations note,Inscription,Additions,Binding note,Ink color,Features,Condition note,Type.typeOfResource,Type.genre,Language,Text direction,Writing system,Script,Script note,Rights.statementLocal,Rights contact,Name.repository,AltIdentifier.local,Collection (physical),Other version,IIIF Manifest URL,delivery
,,sinai,"Sinai Arabic 164. Acts and Epistles : manuscript, 1238. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z10v9xdg,Work,,Bible. Acts|~|Bible. Epistles,,1238,,1238,,"Anṭākī, ʻAbd Allāh ibn al-Faḍl, -approximately 1052",,"Lessons from Gospels with commentary, Acts of the Apostles, Pauline and Catholic Epistles with introduction by Bishop ‘Abdallāh ibn al-Fadl, tables of Epistles, and commentary on Epistles",,,,Kamil,,,356 ff. ; 2709.4 g,codex,275 x 207 x 118 mm,Paper,,,,,,,,,,,text,Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 164,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10v9xdg/manifest,4.3
,,sinai,"Sinai Arabic 174. Lectionary (Epistles) : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1w39dxg,Work,,Lectionary,,1201/1300,,13th c.,,,,,,,,Kamil,,,196 ff. ; 1743.7 g,codex,260 x 187 x 75 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Lectionaries|~|Biblical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 174,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w39dxg/manifest,4.3
,,sinai,"Sinai Arabic 250. Varia : manuscript, 1287. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1rf7cnx,Work,,Kontakarion|~|Sticherarion,,1287,,1287,,,,"The Eleven Gospel Chapters, Antiphona, Kontakion, Sticherarion, Apophthegmata, the stories of ‘Abdallāh surnamed God’s Man and St. John who shut himself in a well, and lessons from the Acts of the Apostles",,,,Kamil,,,311 ff. ; 1635.2 g,codex,228 x 151 x 95 mm,Paper,,,,,,,,,,,text,Liturgical texts|~|Gospel books|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 250,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7cnx/manifest,4.3
,,sinai,"Sinai Arabic 267. Typikon : manuscript, 1325. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1mp6mwr,Work,,Typikon,,1325,,1325,,,,,,,,Kamil,,,353 ff. ; 1498.7 g,codex,202 x 157 x 97 mm,Paper,,,,,,,,,,,text,Liturgical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 267,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mp6mwr/manifest,4.3
,,sinai,"Sinai Arabic 274. Mimars by St. Gregory the Theologian : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1gx5w5f,Work,,,,1201/1300,,13th c.,,"Gregory, of Nazianzus, Saint",,,,,,Kamil,,,562 ff. ; 3295 g,codex,265 x 190 x 117 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 274,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gx5w5f/manifest,4.3
,,sinai,"Sinai Arabic 282. Commentary on the Book of Genesis by St. John Chrysostom : manuscript, 1278. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1c554gv,Work,,"John Chrysostom, Saint, -407. Homilies on Genesis",,1278,,1278,,"John Chrysostom, Saint, -407|~|Basil, Saint, Bishop of Caesarea, approximately 329-379|~|Ephraem, Syrus, Saint, 303-373",,"Followed by miscellaneous items, including Mimar by St. John Chrysostom, two others by St. Ephraem the Great and St. Basil the Great, and the lives of SS. Maximus and Dometius",,,,Kamil,,,210 ff. ; 2022.7 g,codex,278 x 207 x 75 mm,Paper,,,,,,,,,,,text,Theological works|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 282,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c554gv/manifest,4.3
,,sinai,"Sinai Arabic 285. Commentary on the Gospel of St. Matthew by St. John Chrysostom in 45 discourses : manuscript, 1053. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z17d4ct1,Work,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",,1053,,1053,,"John Chrysostom, Saint, -407",,,,,,Kamil,,,334 ff. ; 2261.4 g,codex,232 x 170 x 120 mm,Parchment,,,,,,,,,,,text,Theological works|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 285,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d4ct1/manifest,4.3
,,sinai,"Sinai Arabic 286. Commentary on the Gospel of St. Matthew by St. John Chrysostom, Part I : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z13n3n1t,Work,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",,1201/1300,,13th c.,,"John Chrysostom, Saint, -407",,,,,,Kamil,,,356 ff. ; 2741 g,codex,273 x 211 x 110 mm,Paper,,,,,,,,,,,text,Theological works|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 286,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3n1t/manifest,4.3
,,sinai,"Sinai Arabic 287. Commentary on the Gospel of St. Matthew by St. John Chrysostom, Part II : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1zw34h2,Work,,"John Chrysostom, Saint, -407. Homilies on the Gospel of Saint Matthew",,1201/1300,,13th c.,,"John Chrysostom, Saint, -407",,,,,,Kamil,,,190 ff. ; 1514.1 g,codex,268 x 200 x 74 mm,Paper,,,,,,,,,,,text,Theological works|~|Commentaries,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 287,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zw34h2/manifest,4.3
,,sinai,"Sinai Arabic 308. Six Mimars on Priesthood by St. John Chrysostom : manuscript, 1266. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1v7136c,Work,,,,1266,,1266,,"John Chrysostom, Saint, -407",,"Six Mimars on Priesthood by St. John Chrysostom followed by a miscellany of twenty-two treatises including  Mimars,  prayers, lives of saints and martyrdoms",,,,Kamil,,,426 ff. ; 2999.4 g,codex,275 x 192 x 103 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 308,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v7136c/manifest,4.3
,,sinai,"Sinai Arabic 31. Psalter : manuscript, [12th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1pk20rk,Work,,Bible. Psalms|~|Psalter,,1101/1200,,12th c.,,,,,,,,Kamil,,,91 ff. ; 750.9 g,codex,237 x 157 x 45 mm,Paper,,,,,,,,,,,text,Biblical texts|~|Liturgical texts,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 31,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pk20rk/manifest,4.3
,,sinai,"Sinai Arabic 314. Works of St. Ephraem the Syrian ; Works of Bishop Dionysius the Areopagite : manuscript, 1484. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1qg0bgn,Work,,,,1484,,1484,,"Ephraem, Syrus, Saint, 303-373|~|Dionysius, the Areopagite, Saint, active 1st century",,"Codex consisting of two sets of works: 1 - the Works of St. Ephraem the Syrian, with an introduction on his life. 2 - Works of Bishop Dionysius the Areopagite. The latter part is the older of the two",,,,Kamil,,,431 ff. ; 2768.8 g,codex,266 x 192 x 109 mm,Paper,,,,,,,,,,,text,Theological works,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 314,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0bgn/manifest,4.3
,,sinai,"Sinai Arabic 332. Mimars of St. John Climax : manuscript, [11th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1kp9krc,Work,,,,1001/1100,,11th c.,,"John, Climacus, Saint, active 6th century",,,,,,Kamil,,,391 ff. ; 1721.7 g,codex,232 x 170 x 109 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 332,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kp9krc/manifest,4.3
,,sinai,"Sinai Arabic 338. Mimars of St. John Climax : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1fx8v3z,Work,,,,1201/1300,,13th c.,,"John, Climacus, Saint, active 6th century",,,,,,Kamil,,,162 ff. ; 1420.1 g,codex,277 x 188 x 58 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 338,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx8v3z/manifest,4.3
,,sinai,"Sinai Arabic 340. Mimars of St. John Climax : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1b583cx,Work,,,,1201/1300,,13th c.,,"John, Climacus, Saint, active 6th century",,,,,,Kamil,,,327 ff. ; 2104.8 g,codex,251 x 188 x 92 mm,Paper,,,,,,,,,,,text,Theological works|~|Mimars,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 340,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b583cx/manifest,4.3
,,sinai,"Sinai Arabic 371. St. Antiochus: Pandectes (called: al-hāwī al-sagīr) : manuscript, [13th c.]. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z16d7bn6,Work,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",,1201/1300,,13th c.,,"Antiochus, monk of Palestine, active 7th century",,,,,,Kamil,,,121 ff. ; 946.3 g,codex,253 x 174 x 48 mm,Paper,,,,,,,,,,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 371,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16d7bn6/manifest,4.3
,,sinai,"Sinai Arabic 374. St. Antiochus: Pandectes : manuscript, 1226. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z12n6kw1,Work,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",,1226,,1226,,"Antiochus, monk of Palestine, active 7th century",,,,,,Kamil,,,187 ff. ; 1457.6 g,codex,267 x 188 x 58 mm,Paper,,,,,,,,,,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 374,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n6kw1/manifest,4.3
,,sinai,"Sinai Arabic 376. St. Antiochus: Pandectes : manuscript, 1306. St. Catherine's Monastery, Sinai, Egypt",,paged,ark:/21198/z1bk2gmg,ark:/21198/z1z04srg,Work,,"Antiochus, monk of Palestine, active 7th century. Pandektēs",,1306,,1306,,"Antiochus, monk of Palestine, active 7th century",,,,,,Kamil,,,255 ff. ; 2343.1 g,codex,275 x 188 x 93 mm,Paper,,,,,,,,,,,text,Theological works|~|Apophthegmata,ara,right-to-left,Arabic,,,Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.,"To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.",Saint Catherine (Monastery : Mount Sinai),Sinai Arabic 376,Sinai. Old Collection,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z04srg/manifest,4.3
