"File Name","Item Sequence","Title","Descriptive title","Thumbnail URL","viewingHint","Parent ARK","Item ARK","Object Type","AltTitle.other","AltTitle.uniform","Place of origin","Date.normalized","Date.creation","Scribe","Author","Associated name","Contents note","Colophon","Incipit","Explicit","References","Provenance","General note","Format.extent","Format.weight","Form","Format.dimensions","Support","Foliation","Page layout","Hand note","Illustrations note","Inscription","Additions","Binding note","Ink color","Features","Condition note","Type.typeOfResource","Type.genre","Language","Text direction","Writing system","Script","Script note","Rights.statementLocal","Rights contact","Name.repository","Shelfmark","Collection (physical)","Other version(s)","IIIF Manifest URL","delivery","image count"
"","","Sinai, St. Catherine’s Monastery, Arabic 112","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3p1j%2F2812bv2m/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1np3p1j","Work","Four Gospels","Bible. Gospels","","1259","1259","","","","Preceded by introduction and chapter index. St. Matthew begins with I, 22","","","","Kamil","","","168 ff.","717.8 g","codex","231 x 165 x 42 mm","Paper","","","","","","","","","Dated","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 112","Sinai. Old Collection","https://www.loc.gov/item/00279386784-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np3p1j/manifest","delivery 4.3","342"
"","","Sinai, St. Catherine’s Monastery, Arabic 113","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3d0v%2Fvm57pb5k/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z10k3d0v","Work","Four Gospels","Bible. Gospels","","1101/1200","12th c.","","","","","","","","Kamil","","","183 ff.","1384.7 g","codex","267 x 208 x 65 mm","Paper","","","","","","","","","Rubrication|~|Marginalia","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 113","Sinai. Old Collection","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k3d0v/manifest","delivery 4.1","376"
"","","Sinai, St. Catherine’s Monastery, Arabic 115","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447541%2F2792md73/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1447541","Work","Four Gospels","Bible. Gospels","","1201/1300","13th c.","","","","","","","","Kamil","","","279 ff.","958.8 g","codex","181 x 148 x 72.0 mm","Paper","","","","","","","","","","","text","Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 115","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003871375 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447541/manifest","delivery 6.1","567"
"","","Sinai, St. Catherine’s Monastery, Arabic 116","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt2wgq%2Fvm78gf0g/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1vt2wgq","Work","","Lectionary","","985","985","","","","Begins with lesson from St. John XXI, 24, 25 and ends with lesson from St. Luke III, 21, 22. Text in Arabic and Greek in two parallel columns","","","","Kamil","","","207 ff.","1070.5 g","codex","214 x 162 x 77 mm","Paper","Left to right foliation","","","","","","","","Rubrication|~|Decoration, Geometric|~|Headpiece(s)|~|Initial(s), Decorated|~|Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara|~|grc","","Arabic|~|Greek","Greek majuscule","Kufic elements","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 116","Sinai. Old Collection","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt2wgq/manifest","delivery 4.1","426"
"","","Sinai, St. Catherine’s Monastery, Arabic 117","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z1b86cjr","Work","Lectionary (Gospels)","Evangelion","","1203","1203","","","","","""This is the day of completing the Holy Gospel, on Saturday in the Ninth Hour from the day [Nones, i.e. 3 pm] 31 in the month of Kānūn al-Awwal [December] in the Year of the World [Anno Mundi] 6701, and Arsani the guilty copied it…"" (f. 138v).","نبتدي علیٰ بركة الله و حسن توفيقه نكتب الانجيل المقدّس (f. 3r).","هذا يوم كمال الإنجيل المقدّس (f. 138v).","Kamil","","","139 ff.","1336.9 g","codex","257 x 177 x 91 mm","Paper","f. 128 mistakenly written as 228","","Scribe: Arsani (ff. 138v, 139r)","f. 3r (headpiece)","","Front board inside, ff. 138v, 139r, 139v, back board inside ; f. 138v (scribal note)","","","Headpiece(s)|~|Rubrication|~|Illustration(s)|~|Colophon|~|Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 117","Sinai. Old Collection","https://www.loc.gov/item/00279386759-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b86cjr/manifest","delivery 3","288"
"","","Sinai, St. Catherine’s Monastery, Arabic 118","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8n0f%2Fnx38hh90/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z10z8n0f","Work","Lectionary (Gospels), With commentary on some lessons by St. John Chrysostom","Evangelion","","1254","1254","","John Chrysostom, Saint, -407","","","","","","Kamil","","","238 ff.","1823.7 g","codex","262 x 183 x 85.0 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 118","Sinai. Old Collection","https://www.loc.gov/item/00279386863-ms/","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8n0f/manifest","delivery 6.2","484"
"","","Sinai, St. Catherine’s Monastery, Arabic 12","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33h90%2Fzn14145b/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1z33h90","Work","","Prophetologion","","1301/1400","14th c.","","","","","","","","Kamil","","","122 ff.","473.2 g","codex","217 x 160 x 33 mm","Paper","","","","","","","","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 12","Sinai. Old Collection","https://www.nli.org.il/en/manuscripts/NNL_ALEPH003891571 ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33h90/manifest","delivery 4.3","250"
"","","Sinai, St. Catherine’s Monastery, Arabic 121","","","paged","ark:/21198/z1bk2gmg","ark:/21198/z16m4b5v","Work","Lectionary (Gospels)","Evangelion","","1243","1243","","","","","","","","Kamil","","","359 ff.","3328.1 g","codex","300 x 220 x 113 mm","Paper","","","","ff. 35v, 42r, 76r, 84r, 114v, 178v, 196v, 218r (headpiece), 228v, 289v (headpiece), 296r, 322r, 349v, 352v, 356r, 358r, 359r","","f. 359v (scribal note)","","","Rubrication|~|Illustration(s)|~|Border(s), Decorative|~|Decoration, Zoomorphic|~|Decoration, Full-page|~|Decoration, Vegetative|~|Headpiece(s)|~|Marginalia|~|Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 121","Sinai. Old Collection","https://www.loc.gov/item/00279386851-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m4b5v/manifest","delivery 3","734"
"","","Sinai, St. Catherine’s Monastery, Arabic 122","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx2x8c%2Fk306jd73/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1hx2x8c","Work","Lectionary (Gospels), with introduction and commentary","Evangelion","","1228","1228","","","","","","","","Kamil","","","322 ff.","2428.8 g","codex","264 x 183 x 98 mm","Paper","","","","","","","","","Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books|~|Commentaries","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 122","Sinai. Old Collection","https://www.loc.gov/item/0027938684A-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx2x8c/manifest","delivery 4.3","657"
"","","Sinai, St. Catherine’s Monastery, Arabic 123","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks7vtv%2Fmp75d739/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1ks7vtv","Work","Lectionary (Gospels)","Evangelion","","1279","1279","","","","","","","","Kamil","","","196 ff.","1117.7 g","codex","234 x 151 x 68 mm","Paper","","","","","","","","","Rubrication|~|Dated","A few loose leaves","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 123","Sinai. Old Collection","https://www.loc.gov/item/00279386838-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks7vtv/manifest","delivery 1","404"
"","","Sinai, St. Catherine’s Monastery, Arabic 124","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6dfr%2F22014f3z/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z10c6dfr","Work","Arabic Lectionary followed by a Greek Lectionary","Lectionary","","1201/1300","13th c.","","","","","","","","Kamil","","","236 ff.","1136.2 g","codex","213 x 154 x 70.0 mm","Paper","","","","","","","Lacking back board","","","","text","Liturgical texts|~|Lectionaries|~|Biblical texts","ara|~|grc","right-to-left","Arabic","Naskh|~|Greek minuscule","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 124","Sinai. Old Collection","https://www.loc.gov/item/00279386826-ms/","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6dfr/manifest","delivery 6.1","483"
"","","Sinai, St. Catherine’s Monastery, Arabic 127","","https://iiif.sinaimanuscripts.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g1744p%2F0s65t42p/full/!200,200/0/default.jpg","paged","ark:/21198/z1bk2gmg","ark:/21198/z1g1744p","Work","Lectionary (Gospels)","Evangelion","","1294","1294","","","","","""This Blessed Gospel was completed on Saturday the Feast of St Philip, which is 14 in the month of Tishrīn ath-Thānī [November] in the Year of Our Father Adam [Anno Mundi] 6xxx, [which was] the year 1xxx after Divine Incarnation…, [which was also] 14 of Dhī al-Ḥijjah of the Arab Year [AH] 390. O Reader, remember this humble amongst [the Children of the] Baptised, the monk Paul the Egyptian by name who narrated/translated? and copied it…."" (f. 241v).","نبديَ بعون الله و حُسن توفيقه نكتب الإناجيل المقدّسة ألّتي تقرأ في مدار السّنة (f. 2r)؛ بدو أناجيل لوقا ألّذي أكرز بالإسكندرية (f. 81v)؛ بدو قرآأت إنجيل مرقس (f. 116r).","نجز هذا الإنجيل المبارك (f. 241v).","Kamil","","","241 ff.","2611.4 g","codex","298 x 230 x 85 mm","Paper","","","Sribe: Paul the Egyptian (f. 241)","ff. 81v, 179r, 186r","","ff. 1v (reader inscription), 241v (donation inscription)","","","Rubrication|~|Illustration(s)|~|Marginalia|~|Border(s), Decorative|~|Decoration, Vegetative|~|Colophon|~|Dated","","text","Liturgical texts|~|Lectionaries|~|Biblical texts|~|Gospel books","ara","right-to-left","Arabic","Naskh","","Images: Contact the Monastery of St. Catherine's of the Sinai. Metadata: Unless otherwise indicated all metadata associated with this manuscript is copyright the authors and released under Creative Commons Attribution 4.0 International License.","To inquire about image rights, contact St. Catherine's Monastery, https://www.sinaimonastery.com, sinaimonastery@gmail.com.","Saint Catherine (Monastery : Mount Sinai)","Sinai Arabic 127","Sinai. Old Collection","https://www.loc.gov/item/00279384295-ms/","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g1744p/manifest","delivery 3","494"
